Open Time (UTC),Close Time (UTC),Symbol,Open Price,Close Price,Total Size,Closed PNL,Exchange fee paid,Funding fee paid,Realised PNL,ROI
2024-04-08 10:16,2024-04-08 14:08,WIFUSDT USDT-Margin,4.2481,4.17996553,235,-16.01160000 USDT,1.18835724 USDT,0.00000000 USDT,-17.19995724 USDT,-10.23%
2024-04-07 14:46,2024-04-08 2:48,1000 PEPEUSDT USDT-Margin,0.0072956,0.0072468,71025,-3.46602000 USDT,0.36063938 USDT,0.10454276 USDT,-3.93120214 USDT,-4.48%
2024-04-07 13:55,2024-04-08 2:48,STXUSDT USDT-Margin,3.2795,3.26277036,587,-9.82030000 USDT,1.34165437 USDT,0.38671595 USDT,-11.54867032 USDT,-4.17%
2024-04-07 1:03,2024-04-07 13:01,WIFUSDT USDT-Margin,3.56919137,3.58310432,278,3.86780000 USDT,1.19300292 USDT,0.09996880 USDT,2.57482828 USDT,1.54%
2024-04-07 1:08,2024-04-07 12:15,ALPHAUSDT USDT-Margin,0.1748872,0.1743771,5139,-2.62139000 USDT,1.07692154 USDT,0.09980254 USDT,-3.79811408 USDT,-3.33%
2024-04-06 3:13,2024-04-07 1:50,WLDUSDT USDT-Margin,7.24307432,7.04684863,292,-57.29790000 USDT,1.89155255 USDT,0.50782565 USDT,-59.69727820 USDT,-19.07%
2024-04-06 1:30,2024-04-06 5:48,BCHUSDT USDT-Margin,694.1635663,684.15,2.947,-29.50998000 USDT,2.43713405 USDT,0.00000000 USDT,-31.94711405 USDT,-6.22%
2024-04-05 14:46,2024-04-05 18:10,PENDLEUSDT USDT-Margin,5.81114543,5.7644,3.50E+02,-16.36090000 USDT,1.97468534 USDT,0.21278157 USDT,-18.54836691 USDT,-3.60%
2024-04-05 14:48,2024-04-05 15:03,WIFUSDT USDT-Margin,3.4291,3.36826721,555,-33.76220000 USDT,2.26352328 USDT,0.00000000 USDT,-36.02572328 USDT,-7.53%
2024-04-04 20:19,2024-04-04 20:30,TIAUSDT USDT-Margin,12.21,12.33535411,-401,-50.26700000 USDT,3.45750720 USDT,0.00000000 USDT,-53.72450720 USDT,-5.44%
2024-04-04 17:48,2024-04-04 18:34,ORDIUSDT USDT-Margin,62.72222693,63.9235187,20.05,24.08590000 USDT,1.52354832 USDT,0.00000000 USDT,22.56235168 USDT,16.79%
2024-04-04 15:03,2024-04-04 18:34,MKRUSDT USDT-Margin,4007.932424,4029.090048,0.623,13.18120000 USDT,2.57136420 USDT,0.24871406 USDT,10.36112174 USDT,4.12%
2024-04-04 18:13,2024-04-04 18:34,STXUSDT USDT-Margin,3.33444848,3.31470095,528,-10.42670000 USDT,2.10645054 USDT,0.00000000 USDT,-12.53315054 USDT,-5.58%
2024-04-04 17:49,2024-04-04 18:12,AEVOUSDT USDT-Margin,3.112,3.102,379,-3.79000000 USDT,0.82333960 USDT,0.00000000 USDT,-4.61333960 USDT,-3.89%
2024-04-03 2:02,2024-04-03 10:02,WIFUSDT USDT-Margin,3.99,3.9786,799,-9.10860000 USDT,3.82014684 USDT,0.32537038 USDT,-13.25411722 USDT,-2.44%
2024-04-03 1:48,2024-04-03 2:01,ONDOUSDT USDT-Margin,0.8098,0.82352325,4305,59.07860000 USDT,2.82804246 USDT,0.00000000 USDT,56.25055754 USDT,11.09%
2024-03-28 14:03,2024-04-03 0:37,BIGTIMEUSDT USDT-Margin,0.377,0.2828,2841,-267.62220000 USDT,1.12469508 USDT,4.74989451 USDT,-273.49678959 USDT,-101.92%
2024-03-31 15:47,2024-04-03 0:37,TUSDT USDT-Margin,0.05115,0.04088,10936,-112.31272000 USDT,0.60386405 USDT,0.42257114 USDT,-113.33915519 USDT,-100.65%
2024-03-29 23:01,2024-04-02 22:25,JTOUSDT USDT-Margin,3.53582791,4.1196986,4.30E+02,251.06440000 USDT,1.47634584 USDT,2.85111581 USDT,246.73693835 USDT,223.95%
2024-04-02 18:53,2024-04-02 22:25,PENDLEUSDT USDT-Margin,5.27097354,5.25347532,393,-6.87680000 USDT,2.13072459 USDT,0.00000000 USDT,-9.00752459 USDT,-4.78%
2024-03-28 13:59,2024-04-02 18:06,WIFUSDT USDT-Margin,3.51958027,3.95496966,735,320.01120000 USDT,3.29627652 USDT,15.27318100 USDT,301.44174248 USDT,138.05%
2024-03-29 4:05,2024-04-02 15:42,PENDLEUSDT USDT-Margin,4.1675,5.23661405,242,258.72560000 USDT,0.86120986 USDT,2.47401786 USDT,255.39037228 USDT,252.20%
2024-04-01 22:00,2024-04-02 15:41,MAVUSDT USDT-Margin,0.7382,0.74833284,405,4.10380000 USDT,0.21174198 USDT,0.06258618 USDT,3.82947184 USDT,6.35%
